Help!	Kapadle
You can borrow these books from the library for a week.	Ee indh booku n granthayalad onji vara muta kada manpoli
Your feet are swollen because your shoes are too small.	Ninna kaar ubudhu pothund dhayepanda ninna muttu masth yellia undu
A mother is responsible for the conduct of her children.	Ammana javabdhari alna joklena nadathe dha bagge
Columbus argued that he could reach India by going west.	Columbus jagala manthe aye bharatha muttuve paddai ponda
Didn't you know that he passed away about two years ago? 	Nik gothithija aye sumar radd varsha dhumbe theer poye pandh?
If I had known her address, I would have written to her. 	Yenk alna vilasa gothithinda, yaane aleg baredh kordhve
In the 1600s, tea was introduced into Europe from India. 	1600 d cha n bharathad europe g pathondh poyer 
It's been nice talking to you, but I really must go now.  	Ninottugu patherdh ista aand aanda yenk ithe pidhadod aapund
It's hard to say what the weather will be like tomorrow. 	Yelley dha havamana yencha uppu andh panre banga undu 
Last night you forgot to turn off the radio, didn't you?	Kode rathre nik radio bandh manpare mareth pondu , atha? 
Without a dictionary, it would be hard to study English.  	Nigant ijandhe english kalpare banga 
You ought not to have spent so much money on your hobby.	Ee ninna mokedha-sangathid aath kaas karch manpare balli ithind
"When will you be back?" "It all depends on the weather."	"Ee yepa pira barpa?" "Matha havamanadha mith undu."
He never takes into account the fact that I am very busy.	Aye yepala yenk yeth bele undu andh gananeg dheepuje
I can barely afford to buy enough food to feed my family.	Yenk yenna kutumbag thinpayare baari banga avondh undu
It is essential to have good command of English nowadays.	Ithedha kaaladu english d yedde appani upunu mukhya
Mumbai is the capital of the Indian state of Maharashtra.	Mumbai maharastradha rajadhani 
Parents are responsible for the safety of their children.	appe-ammadlu aklena joklena rakshaneg javabdhari
Parents are responsible for the safety of their children.	appe-ammadlu aklena joklena rakshaneg javabdhari
Some of the boys are fishing and the others are swimming.	Kelav annulu meen pathondh uller boka kelaver neendhondh uller
That child is only four, but he can already count to 100.	Av baleg kali naal varsha andala ayeg noodh muta lekka manpare barpund
The reason why you failed is you did not try hard enough.	Ee aath prayathna manthija aitha karanagu ee asafala aya
He couldn't sleep because of the noise outside his window.	Ayeg nidre baidhiji dhayepanda kandi dha pidai shabdha ithind
He intends to devote his life to curing the sick in India.	Ayena idi jeevana aye bharathad ushar ijandhina janakleg swastha manpare manas manthe
I have so many clothes I don't know what to wear tomorrow.	Yenada masth batte undu yenk vowen padod andh gothavondh ijji
I tried to give her some money, but she wouldn't take any.	Yan aleg kaas korre prayathna manthe aanda aal dhepare opijal
It makes no difference to me whether you are rich or poor.	Yenk ee kaas dhaye andala ayijidala yenk vyathyasa ijji
Japan is one of the greatest economic powers in the world.	Japan vishwadha onji shakthishali manevarthe 
On the fifteenth of August, thousands of people fly kites.	Ain sonag savira janakul gaalipata rapver
There is nothing on earth that is not affected by the sun.	Bhoomi d ancha dhala ijji vow sooryadh oyyaradha ijjandhina
There is nothing on earth that is not affected by the sun.	Bhoomi d ancha dhala ijji vow sooryadh oyyaradha ijjandhina
We must hurry if we want to arrive at the station on time.	Nama amasara manpod aapund namak nildhana bega muttod aanda
According to my calculation, she should be in India by now.	Yenna lekkod aal bharathad ithe uppod
Although they are twins, they have few interests in common.	Akul ammarbalelu aandala akleda kelav lakshye samana undu
Cross off the names of the people who have paid their dues.	Yer pura kaas korther aklena pudar kadath paadh budu
He deliberately ignored me when I passed him in the street.	Aye yan rasthed ayena yedhur ponaga bodithinek yennan gurtha ijandhina leka poye 
He promised me that he would be more careful in the future.	Aye yenk vachana korthe aye bavishad jagrathed upve pandh 
Seeing that movie is something like taking a trip to India.	Av chalanachitra n thoonda bharathan suthileka aapund
The authorities have been hiding the facts from the public.	Adhikarilu sathyan janakled dhengadh dheether
The instant he opened the door, he smelt something burning.	Aye bakil dhethinapagane ayeg dhadhana pothina vasane bathind
What is the difference between imitation and real diamonds?	Achcha boka nakali vajra dha vyathyasa dhadha?
By the time the sun sets, we will arrive at the destination.	Soorya kanthinaga nama gonthug barpa
Covered with dust, the doll stood in the corner of the room.	Dhooludu muchudh gombe konedha mooled unthdhithindu
He finished his dinner because he didn't like to waste food.	Aye ayena vanas mugipaye dhayepanda ayeg ahara haal manpare ista ithiji
Nobody likes him, because he is always blowing his own horn.	Yeregla aye ista ijji dhayepanda aye yepala ayena bagge malla malla budpe
They have demanded that all copies of the book be destroyed.	Akul booku dha poora prathin nasha manpare panyer
What do you call a man who takes care of sheep in the field?	Gadhed d kuri sankunayeg dhadha panndh lepver?
When he would not give them higher pay, they went on strike.	Aye akleg yepa jaasti kaas korthije akul prathibataneg poyer
I feel sad when I think about all the people who die in wars.	Yenk yudhad saithina janaklena bagge yennaga bejar aapund 
It looks like rain. You had better take an umbrella with you.	Barsa bathina leka thojund. Ee kode pathondh popina yedde
The fisherman exaggerated the size of the fish he had caught.	Meenpathunar aar pathina meen dha alathe dha bagge athi-varnane manther
The new government promised to rid the country of corruption.	Ee posa sarakara brastavharan indh deshad pidai paduna vachana korther
His shoes were so old that his toes were sticking out of them.	Ayena muttu yeth parath panda ayena anguta pidhai barondh ithind
If it had not been for her help, you would never have done it.	Alna sahaya ijjandhe nik aven manparene avondh ithiji
Instead of cleaning the house today, I think I'll take a walk.	Ini illa dhekuna badhalg yan nadathondh popina yenondh ulle
It has been raining on and off since the day before yesterday.	Muranid barsa barondh povondh undu
It will take me no less than 10 hours to prepare for the exam.	Yenk parikshe g thayari manpare kammi pandala path gante bodu
Mary resembles her mother in appearance, but not in character.	Mary alna ammana leka thojwal aanda swabhava bethene
This morning the weather was so bad that I had to take a taxi.	Ini kande havamana yedde ithiji aik yenk taxi depod aand
When he is in trouble, he always turns to his sister for help.	Aye yepa ragaled upuve apaga aye ayena akkanade sahayag pope
How long has it been since you gave up teaching at that school?	Yeth samaya aand ee kalpayare budthina av shaled ?
I don't think I shall get through all this work this afternoon.	Yenk yenuji yan eeth bele n madhyag mugipave pandh 
I missed my stop. How long does it take to reach the next stop?	Yenna nildhana thathudh pondu, magar nildhana g yeth porth thagund? 
To investigate the incident would take us at least three weeks.	yenkleg gatanedha vicharipuni manpare kammi pandala mooji vara thagund
The older you are, the more difficult it is to learn a language.	Nik ayasu jaasti ayi leka bashe kalpare banga aapund
Electric power companies are seeking to reduce their use of coal.	Vidhyuth ilake dhakulu aklena majin kammi karch manpare thoovondh uller
It is not till we lose our health that we realize its true value.	Nama namma arogya kaleyuni muta aitha nija bele gothapuji
It is not till we lose our health that we realize its true value.	Nama namma arogya kaleyuni muta aitha nija bele gothapuji
She wanted to have her hair cut, but her mother wouldn't let her.	Aleg alna kujal katherre ithind aanda alna amma aleg budthijer
You might as well read a novel instead of staring at the ceiling.	Ee atta thoopina bhadal g onji katkathe odholi atha
Don't you think the air conditioner is turned up too high in here?	Nik yenuja moolu air conditioner n churu jaasti dheether pandh?
It will not make much difference whether you go today or tomorrow.	Ee ini ijida yelley pola ait aath vyathyasa barpuji 
The boy gathered a handful of peanuts and put them in a small box.	Aan-bale onji sere kadle n onji yellia dabbi g padye 
There's a rumor in the air that the firm is going into bankruptcy.	Onji gaali-sudhi undu av vyaparasangha divali g povondh undu 
When you leave the room, please make sure you turn off the lights.	Ee kone bud-dhu ponaga dhayamanthudh light bandh manthudh pola
If Tom doesn't help us, we'll never be able to finish this on time.	Tom mini sahaya manthije nama aven sari porth g mugipayare apuji  
You must not be afraid of making mistakes when learning a language.	Nik posa bashe kalpunaga thappu manpuna podige uppare balli 
If you have a time, could you translate some sentences below, please?	Nik samaya ithinda indh thirthidha vakhyan poora tharjime manpoliya 
Many people around the world don't have access to good quality water.	Prapanchadu masth janakleg yedde neer dha prapthi ijji  
The company gave him a gold watch in acknowledgement of his services.	Sangha ayeg ayena seve goskara onji bangaradha gadiyara korther 
She cut the cake into six pieces and gave one to each of the children.	Aal cake n aaji thundu manthal boka poora jokleg onji koryal
The twin girls are so much alike that I can't tell one from the other.	Amar ponnulu onje leka uller aklena nadoot vyathyasa manpare aapuji
I make it a practice to help my brother with his homework after supper.	Yan onji abhyasa manthe yan yenna meggena homework vanas ayi boka manpare
Instead of laying off these workers, why don't we just cut their hours?	Bele dhaklen dheppuna badhalg nama aklena bele manpuna ganten dhaye kammi manpuja?
Our parents took care of us and now it's our turn to take care of them.	Nama appe-ammadlu namman yedde manthudh sankhyer ithe aklen sankhuna namma baari
The thieves pulled open all the drawers of the desk in search of money.	Kalver meji dha matha ankana voithudh padyer kaas nadunek 
I learned to drive a car and got a driver's license when I was eighteen.	Yan gaadi budre kalthudhe boka yenk yenna gaadi dha license pathnedma upunaga thikind
Father kept in touch with us by mail and telephone while he was overseas.	Ammer yenklena ottige mail boka dhooravani d samparkad ither
Mother Teresa was a Catholic nun who lived and worked in Calcutta, India.	Mother Teresa rome dha kanyastree adhither aar calcutta d vasa boka bele manthondh ither
George Washington was the first president of the Unites States of America.	George Washington America dha prathama adhipathi adhither
